id_venta,fecha,producto,categoria,cantidad,precio_unitario,cliente,region,edad_cliente,ingresos_anuales
326,2025-02-07,Auriculares Sony,Accesorios,2,138.98,Ana Rodríguez,Oeste,54,120000.0
471,2025-02-07,Laptop HP,Electrónica,2,1104.39,Pedro Sánchez,Norte,24,55760.59
107,2025-02-07,Laptop Dell,Electrónica,3,1058.35,Diego López,Sur,50,95697.29
180,2025-02-08,Webcam HD,Accesorios,3,97.22,Diego Rodríguez,Norte,30,53935.07
416,2025-02-08,Monitor Samsung,Electrónica,1,287.1,Juan López,Oeste,43,68966.76
255,2025-02-09,Auriculares Logitech,Accesorios,3,115.62,Juan Rodríguez,Este,48,95395.27
170,2025-02-09,Laptop Lenovo,Electrónica,2,1221.11,Juan Fernández,Oeste,38,82704.73
193,2025-02-10,Monitor Dell,Electrónica,3,328.66,María González,Oeste,27,61551.93
354,2025-02-10,Laptop Lenovo,Electrónica,3,1052.56,Diego Sánchez,Este,51,93299.53
110,2025-02-11,Webcam Full HD,Accesorios,1,115.88,Miguel Martínez,Oeste,27,39688.76
141,2025-02-11,Monitor Dell,Electrónica,1,376.29,Ana García,Sur,53,119455.74
113,2025-02-11,Monitor Dell,Electrónica,3,283.25,Ana Pérez,Este,48,107458.25
440,2025-02-12,Monitor Samsung,Electrónica,3,307.65,Ana López,Oeste,33,59529.0
417,2025-02-13,Laptop HP,Electrónica,2,1285.81,Miguel Rodríguez,Sur,55,109184.88
71,2025-02-13,Monitor Dell,Electrónica,2,299.81,Pedro Sánchez,Sur,40,80736.27
459,2025-02-15,Mouse Inalámbrico,Accesorios,1,35.96,Valentina Sánchez,Oeste,25,48764.48
36,2025-02-15,Laptop Dell,Electrónica,2,1497.28,Pedro Fernández,Este,60,115967.74
45,2025-02-16,Webcam HD,Accesorios,2,59.72,Carlos Pérez,Oeste,35,67151.43
48,2025-02-17,Laptop HP,Electrónica,2,1019.89,Miguel Sánchez,Norte,20,36821.53
489,2025-02-17,Mouse Gaming,Accesorios,3,106.25,María Sánchez,Oeste,41,64418.41
490,2025-02-18,Teclado Inalámbrico,Accesorios,1,88.4,María Martínez,Norte,34,64328.01
341,2025-02-18,Teclado Inalámbrico,Accesorios,1,69.54,Juan Fernández,Oeste,39,71107.91
333,2025-02-19,Laptop Lenovo,Electrónica,2,970.5,Pedro Pérez,Norte,24,39118.58
349,2025-02-20,Webcam HD,Accesorios,2,50.51,Laura García,Norte,58,112215.39
226,2025-02-21,Laptop Lenovo,Electrónica,1,895.64,Carlos Sánchez,Oeste,55,88904.89
384,2025-02-21,Webcam Full HD,Accesorios,2,125.39,Ana Sánchez,Sur,33,54906.13
408,2025-02-21,Auriculares Sony,Accesorios,3,180.99,Laura Sánchez,Sur,50,83849.06
383,2025-02-22,Monitor LG,Electrónica,3,225.39,Carlos García,Norte,41,83780.58
63,2025-02-22,Mouse Gaming,Accesorios,1,88.76,Diego Sánchez,Norte,58,108277.53
7,2025-02-23,Laptop HP,Electrónica,2,1231.26,Valentina González,Sur,48,97784.67
196,2025-02-24,Webcam HD,Accesorios,3,80.79,Ana Rodríguez,Oeste,48,85561.14
150,2025-02-26,Laptop Dell,Electrónica,2,1068.41,Diego García,Este,31,53855.35
239,2025-02-27,Laptop HP,Electrónica,1,1240.07,Carlos Fernández,Sur,21,58525.72
495,2025-02-28,Laptop Lenovo,Electrónica,1,1152.02,Diego González,Norte,47,77607.72
171,2025-02-28,Teclado Inalámbrico,Accesorios,3,52.26,Miguel Rodríguez,Este,44,73917.31
316,2025-02-28,Auriculares Logitech,Accesorios,3,139.37,Diego Sánchez,Este,24,58937.27
406,2025-02-28,Auriculares Logitech,Accesorios,1,129.92,Valentina González,Este,45,85516.26
152,2025-02-28,Mouse Gaming,Accesorios,3,113.24,Valentina García,Norte,45,89591.8
44,2025-03-01,Monitor LG,Electrónica,1,303.56,Pedro Pérez,Oeste,25,30196.87
379,2025-03-02,Webcam HD,Accesorios,1,84.89,Carlos López,Sur,35,59840.83
339,2025-03-02,Monitor Dell,Electrónica,1,270.7,Laura Martínez,Este,27,50748.35
303,2025-03-02,Teclado Mecánico,Accesorios,1,118.16,María González,Sur,60,114393.08
12,2025-03-03,Laptop Dell,Electrónica,3,1031.78,Sofía Rodríguez,Este,59,120000.0
102,2025-03-03,Monitor Dell,Electrónica,2,386.01,Miguel Martínez,Este,30,59452.04
17,2025-03-03,Auriculares Logitech,Accesorios,1,143.67,Miguel Rodríguez,Sur,47,83302.4
450,2025-03-03,Mouse Inalámbrico,Accesorios,2,56.59,Valentina García,Sur,25,39428.49
78,2025-03-04,Laptop Dell,Electrónica,2,1188.37,Miguel Fernández,Este,46,102071.01
43,2025-03-04,Monitor Dell,Electrónica,2,282.5,Laura Martínez,Sur,41,81344.2
163,2025-03-04,Auriculares Sony,Accesorios,1,140.16,Laura Rodríguez,Este,29,54917.88
496,2025-03-05,Teclado Mecánico,Accesorios,1,122.38,Valentina González,Sur,56,101281.76
144,2025-03-05,Auriculares Logitech,Accesorios,2,129.38,María González,Sur,20,48065.93
220,2025-03-06,Teclado Mecánico,Accesorios,3,80.4,Valentina Pérez,Este,40,67008.38
305,2025-03-07,Laptop HP,Electrónica,1,1232.09,Valentina Martínez,Oeste,58,101292.4
308,2025-03-07,Mouse Gaming,Accesorios,2,89.21,Miguel Sánchez,Sur,22,48714.16
323,2025-03-08,Teclado Mecánico,Accesorios,3,99.55,Ana Martínez,Norte,57,100656.34
359,2025-03-08,Webcam Full HD,Accesorios,3,82.75,Ana Martínez,Este,46,84212.04
97,2025-03-09,Laptop Dell,Electrónica,1,1171.46,Valentina López,Norte,37,71373.68
307,2025-03-09,Teclado Mecánico,Accesorios,2,141.05,Ana Fernández,Este,59,106595.27
49,2025-03-10,Webcam HD,Accesorios,3,86.89,Laura Rodríguez,Este,22,36292.59
283,2025-03-11,Auriculares Sony,Accesorios,3,175.63,Sofía López,Norte,23,61037.36
228,2025-03-12,Mouse Inalámbrico,Accesorios,3,51.99,Sofía García,Sur,55,93316.56
311,2025-03-13,Mouse Gaming,Accesorios,1,90.43,Diego García,Este,34,65878.56
237,2025-03-14,Teclado Inalámbrico,Accesorios,3,72.26,Sofía García,Este,25,43134.36
455,2025-03-14,Monitor Dell,Electrónica,2,270.14,Juan Sánchez,Oeste,25,37774.55
148,2025-03-14,Laptop HP,Electrónica,2,1211.67,Miguel Sánchez,Norte,20,39039.4
161,2025-03-14,Laptop Dell,Electrónica,3,1455.17,Juan García,Oeste,23,55243.22
353,2025-03-14,Monitor Samsung,Electrónica,3,350.94,Pedro Fernández,Sur,49,106124.65
438,2025-03-14,Laptop HP,Electrónica,1,1303.54,Laura Fernández,Oeste,22,53022.38
65,2025-03-15,Laptop HP,Electrónica,1,1384.33,Valentina González,Norte,57,109049.67
399,2025-03-15,Monitor LG,Electrónica,1,262.81,Pedro Fernández,Oeste,21,39619.64
57,2025-03-16,Monitor Samsung,Electrónica,2,353.93,Sofía González,Norte,40,76507.44
476,2025-03-17,Monitor LG,Electrónica,1,328.31,Diego Sánchez,Este,49,70633.99
227,2025-03-18,Webcam Full HD,Accesorios,1,151.62,Ana Martínez,Norte,49,97700.52
154,2025-03-23,Laptop HP,Electrónica,1,1110.88,Ana Pérez,Este,37,68467.28
173,2025-03-23,Auriculares Sony,Accesorios,3,122.86,Ana Martínez,Sur,32,59342.86
76,2025-03-23,Webcam HD,Accesorios,1,95.55,Carlos Sánchez,Norte,44,89996.6
219,2025-03-23,Monitor Dell,Electrónica,2,300.11,Miguel Pérez,Este,30,43309.2
456,2025-03-24,Auriculares Logitech,Accesorios,1,60.18,Valentina García,Sur,34,56024.97
80,2025-03-24,Monitor LG,Electrónica,2,336.18,Juan Rodríguez,Sur,28,54869.81
60,2025-03-25,Webcam Full HD,Accesorios,2,170.26,Miguel Fernández,Norte,38,80305.94
327,2025-03-25,Laptop Lenovo,Electrónica,2,1289.56,Juan García,Oeste,43,85282.43
426,2025-03-25,Webcam Full HD,Accesorios,2,158.04,María González,Norte,48,101431.31
106,2025-03-25,Laptop HP,Electrónica,2,1061.18,Juan Pérez,Norte,28,74239.92
181,2025-03-25,Monitor Samsung,Electrónica,3,375.99,Laura López,Este,22,50102.01
235,2025-03-26,Laptop HP,Electrónica,3,1037.27,María López,Sur,58,118826.09
431,2025-03-26,Teclado Inalámbrico,Accesorios,2,51.31,Ana López,Oeste,41,84593.73
257,2025-03-27,Monitor Dell,Electrónica,1,362.41,Pedro Fernández,Este,21,39473.28
487,2025-03-27,Teclado Inalámbrico,Accesorios,1,77.63,Miguel López,Oeste,60,120000.0
265,2025-03-28,Teclado Inalámbrico,Accesorios,1,84.12,Pedro Sánchez,Norte,27,54969.61
203,2025-03-28,Laptop Dell,Electrónica,2,1065.78,Valentina González,Sur,33,37301.58
131,2025-03-28,Laptop Lenovo,Electrónica,1,1139.8,Diego González,Oeste,26,49907.79
277,2025-03-29,Monitor Samsung,Electrónica,3,372.67,Laura López,Norte,52,78608.24
166,2025-03-30,Laptop Lenovo,Electrónica,1,951.0,Miguel González,Sur,56,109514.16
104,2025-03-31,Laptop Dell,Electrónica,1,1264.92,Laura Rodríguez,Sur,30,30590.45
56,2025-03-31,Laptop Dell,Electrónica,1,1327.86,María López,Norte,26,44573.0
294,2025-03-31,Mouse Inalámbrico,Accesorios,2,57.49,Ana Fernández,Este,58,103072.99
68,2025-04-01,Webcam HD,Accesorios,3,68.9,Valentina Martínez,Este,58,106265.53
364,2025-04-02,Auriculares Logitech,Accesorios,3,134.76,Sofía Rodríguez,Este,32,52949.61
90,2025-04-02,Laptop Lenovo,Electrónica,2,1219.81,Valentina Rodríguez,Sur,40,71243.29
198,2025-04-03,Mouse Inalámbrico,Accesorios,1,36.13,Laura Pérez,Este,52,98800.31
498,2025-04-04,Auriculares Sony,Accesorios,1,118.54,Valentina González,Este,34,58679.11
117,2025-04-05,Auriculares Logitech,Accesorios,3,129.47,Carlos López,Oeste,55,110180.99
114,2025-04-07,Auriculares Sony,Accesorios,2,178.86,Pedro López,Este,52,97276.7
35,2025-04-07,Auriculares Sony,Accesorios,2,179.48,Juan Rodríguez,Oeste,38,87198.49
304,2025-04-08,Laptop HP,Electrónica,2,940.86,Juan Martínez,Norte,24,61493.24
146,2025-04-08,Teclado Mecánico,Accesorios,2,122.73,Diego Pérez,Oeste,41,68962.22
254,2025-04-09,Mouse Gaming,Accesorios,1,80.12,Pedro García,Oeste,26,47429.14
295,2025-04-10,Laptop HP,Electrónica,1,1354.7,Laura García,Sur,50,93462.55
355,2025-04-10,Mouse Inalámbrico,Accesorios,2,34.8,Juan Sánchez,Este,53,96867.45
395,2025-04-10,Mouse Gaming,Accesorios,1,63.02,María Sánchez,Norte,28,58324.65
314,2025-04-11,Monitor LG,Electrónica,3,337.22,Ana Fernández,Sur,38,67242.83
437,2025-04-14,Laptop Dell,Electrónica,2,1466.46,Diego López,Sur,20,35822.2
112,2025-04-14,Teclado Mecánico,Accesorios,1,117.23,Sofía López,Este,25,58969.4
242,2025-04-14,Webcam Full HD,Accesorios,3,103.46,Laura Rodríguez,Oeste,59,114036.12
478,2025-04-14,Teclado Mecánico,Accesorios,3,110.07,Pedro Martínez,Norte,25,56438.16
40,2025-04-14,Mouse Inalámbrico,Accesorios,1,55.09,Juan García,Este,58,100892.38
79,2025-04-15,Laptop Dell,Electrónica,2,1419.16,Carlos Pérez,Norte,40,76052.44
297,2025-04-16,Webcam Full HD,Accesorios,2,104.95,Miguel Rodríguez,Sur,28,49139.22
342,2025-04-16,Monitor LG,Electrónica,2,290.17,Laura Fernández,Norte,28,46878.44
466,2025-04-17,Laptop Dell,Electrónica,2,1460.38,Miguel Pérez,Norte,47,81071.55
292,2025-04-17,Mouse Inalámbrico,Accesorios,1,33.38,Juan Fernández,Sur,25,35233.08
1,2025-04-17,Teclado Mecánico,Accesorios,3,135.76,Sofía Rodríguez,Norte,58,99231.73
208,2025-04-17,Monitor Dell,Electrónica,1,256.82,Pedro Pérez,Norte,31,68302.22
363,2025-04-19,Laptop Lenovo,Electrónica,2,1010.28,Carlos Martínez,Norte,40,63385.45
425,2025-04-19,Auriculares Logitech,Accesorios,3,128.29,Diego Pérez,Este,26,47640.41
439,2025-04-19,Laptop Dell,Electrónica,3,1350.58,Diego Sánchez,Norte,36,57882.99
345,2025-04-19,Auriculares Logitech,Accesorios,1,139.4,Juan Rodríguez,Sur,58,116507.04
281,2025-04-22,Auriculares Sony,Accesorios,1,118.8,Miguel González,Oeste,41,80109.33
31,2025-04-22,Teclado Inalámbrico,Accesorios,3,70.32,Miguel López,Norte,48,80546.18
427,2025-04-22,Teclado Inalámbrico,Accesorios,3,49.31,Diego Fernández,Oeste,46,60757.86
390,2025-04-22,Webcam HD,Accesorios,2,71.12,Sofía González,Este,56,106735.9
30,2025-04-26,Monitor Samsung,Electrónica,1,383.06,Juan Sánchez,Oeste,57,111317.07
191,2025-04-26,Webcam HD,Accesorios,1,54.13,Valentina Fernández,Este,21,50993.03
256,2025-04-26,Teclado Mecánico,Accesorios,1,130.7,Carlos Pérez,Este,47,111486.82
367,2025-04-27,Monitor Dell,Electrónica,3,266.44,María López,Sur,31,53014.71
225,2025-04-27,Teclado Mecánico,Accesorios,3,110.16,Miguel González,Este,34,64231.14
187,2025-04-27,Mouse Gaming,Accesorios,2,61.26,María Sánchez,Oeste,30,77628.23
447,2025-04-28,Mouse Gaming,Accesorios,1,111.46,Sofía López,Norte,60,100834.76
270,2025-04-29,Webcam Full HD,Accesorios,1,86.93,María Martínez,Norte,55,93743.79
262,2025-04-30,Webcam HD,Accesorios,1,56.66,Miguel García,Norte,21,39706.76
19,2025-05-01,Laptop Dell,Electrónica,2,1113.97,Ana Rodríguez,Norte,22,43651.13
282,2025-05-01,Auriculares Logitech,Accesorios,2,127.12,María Rodríguez,Norte,39,76564.25
492,2025-05-02,Webcam Full HD,Accesorios,3,117.45,María Fernández,Oeste,28,52554.75
274,2025-05-02,Laptop Dell,Electrónica,3,1322.91,Diego Pérez,Norte,31,80229.85
66,2025-05-02,Mouse Inalámbrico,Accesorios,3,35.87,María Rodríguez,Norte,56,99730.57
167,2025-05-03,Laptop HP,Electrónica,3,1128.72,Miguel López,Norte,53,102258.65
329,2025-05-04,Webcam Full HD,Accesorios,3,152.67,Diego García,Oeste,38,76072.87
360,2025-05-05,Webcam Full HD,Accesorios,2,93.0,Pedro Martínez,Oeste,56,120000.0
111,2025-05-05,Teclado Mecánico,Accesorios,3,129.96,Laura García,Este,34,46590.9
357,2025-05-06,Auriculares Logitech,Accesorios,3,94.1,Juan García,Sur,24,59421.23
23,2025-05-06,Monitor Dell,Electrónica,1,235.29,María Rodríguez,Oeste,45,96428.23
460,2025-05-07,Laptop Lenovo,Electrónica,1,1250.53,Miguel González,Este,34,63456.46
47,2025-05-07,Mouse Inalámbrico,Accesorios,3,58.51,Miguel González,Norte,20,36657.53
449,2025-05-08,Teclado Mecánico,Accesorios,3,93.93,Laura Rodríguez,Oeste,39,64562.41
38,2025-05-08,Teclado Mecánico,Accesorios,3,98.79,María García,Sur,50,89247.43
470,2025-05-09,Monitor Dell,Electrónica,3,234.53,Diego López,Sur,57,106640.93
472,2025-05-09,Monitor Samsung,Electrónica,1,316.93,Ana González,Oeste,46,96377.9
64,2025-05-13,Teclado Mecánico,Accesorios,2,149.72,Carlos Pérez,Norte,30,49027.46
179,2025-05-14,Teclado Mecánico,Accesorios,1,84.59,Carlos López,Sur,42,62590.06
403,2025-05-15,Monitor Samsung,Electrónica,3,346.28,Ana Pérez,Este,28,67019.34
123,2025-05-17,Monitor LG,Electrónica,1,280.69,Valentina González,Norte,45,74878.96
475,2025-05-17,Laptop Dell,Electrónica,1,1159.3,Laura López,Norte,54,104282.61
464,2025-05-18,Laptop HP,Electrónica,3,1086.1,María Fernández,Este,38,58904.51
306,2025-05-18,Teclado Inalámbrico,Accesorios,3,45.6,Carlos Sánchez,Este,51,96537.7
234,2025-05-18,Auriculares Logitech,Accesorios,3,78.56,Miguel Fernández,Norte,44,81729.98
10,2025-05-19,Laptop Dell,Electrónica,3,1099.36,Carlos García,Oeste,54,98446.99
483,2025-05-21,Webcam HD,Accesorios,3,75.01,Laura García,Sur,48,80261.04
119,2025-05-21,Mouse Inalámbrico,Accesorios,2,57.89,Sofía Fernández,Sur,44,91878.49
324,2025-05-22,Mouse Gaming,Accesorios,2,71.28,Ana González,Norte,58,106476.76
246,2025-05-23,Monitor Samsung,Electrónica,2,381.0,Laura González,Norte,31,38271.09
42,2025-05-23,Teclado Inalámbrico,Accesorios,2,75.1,María Martínez,Oeste,42,84549.96
128,2025-05-24,Laptop Dell,Electrónica,2,1018.27,Sofía López,Sur,20,30000.0
62,2025-05-24,Monitor Samsung,Electrónica,3,336.02,Pedro Rodríguez,Este,31,62476.36
486,2025-05-24,Webcam HD,Accesorios,2,81.42,Miguel Fernández,Oeste,28,46750.08
75,2025-05-25,Mouse Gaming,Accesorios,3,68.2,Miguel García,Norte,39,59054.25
184,2025-05-25,Auriculares Logitech,Accesorios,2,102.59,Pedro Sánchez,Este,46,104008.3
346,2025-05-26,Laptop Dell,Electrónica,2,1301.9,María González,Sur,52,102951.73
443,2025-05-27,Teclado Inalámbrico,Accesorios,2,48.96,Valentina García,Oeste,50,82828.59
182,2025-05-27,Monitor LG,Electrónica,2,322.16,Miguel Rodríguez,Este,20,39008.24
389,2025-05-27,Auriculares Sony,Accesorios,3,182.67,Miguel López,Sur,23,48025.61
26,2025-05-27,Laptop Lenovo,Electrónica,3,1170.02,Ana Sánchez,Este,60,120000.0
53,2025-05-27,Monitor Samsung,Electrónica,2,306.19,Valentina Sánchez,Norte,24,56926.33
275,2025-05-29,Mouse Gaming,Accesorios,1,88.08,Sofía Fernández,Oeste,26,62047.99
2,2025-05-30,Auriculares Sony,Accesorios,3,186.62,Pedro Martínez,Oeste,49,90958.53
88,2025-05-31,Auriculares Sony,Accesorios,1,107.59,Diego Sánchez,Este,30,44284.11
135,2025-05-31,Teclado Mecánico,Accesorios,1,124.33,Pedro López,Oeste,38,55702.21
462,2025-05-31,Teclado Inalámbrico,Accesorios,1,72.7,Ana Pérez,Oeste,52,87867.58
266,2025-06-01,Webcam HD,Accesorios,3,90.11,Juan Rodríguez,Oeste,40,71451.8
284,2025-06-03,Mouse Inalámbrico,Accesorios,3,55.45,Pedro Fernández,Norte,59,97697.54
317,2025-06-03,Mouse Gaming,Accesorios,1,56.51,Pedro López,Norte,47,91309.75
94,2025-06-03,Webcam Full HD,Accesorios,1,126.25,Sofía López,Este,22,35796.57
401,2025-06-05,Monitor Dell,Electrónica,3,351.97,Juan Sánchez,Oeste,31,66528.61
116,2025-06-06,Monitor Samsung,Electrónica,3,318.55,Sofía Rodríguez,Norte,23,35926.59
287,2025-06-07,Teclado Inalámbrico,Accesorios,2,70.17,María López,Este,38,64218.01
299,2025-06-09,Teclado Mecánico,Accesorios,3,86.05,Sofía López,Oeste,43,88424.07
105,2025-06-10,Monitor Samsung,Electrónica,3,298.1,Laura Martínez,Oeste,29,76170.08
233,2025-06-10,Laptop Dell,Electrónica,2,1368.44,Diego Rodríguez,Norte,41,78238.11
157,2025-06-10,Monitor Dell,Electrónica,2,281.0,Valentina González,Sur,21,48934.0
3,2025-06-10,Monitor Dell,Electrónica,1,230.12,Valentina Fernández,Norte,44,91364.45
82,2025-06-11,Teclado Inalámbrico,Accesorios,2,41.11,Laura Fernández,Este,31,72576.77
480,2025-06-11,Mouse Inalámbrico,Accesorios,3,45.39,Miguel Martínez,Oeste,30,62249.66
183,2025-06-11,Mouse Inalámbrico,Accesorios,3,55.76,Carlos Sánchez,Norte,44,88224.22
248,2025-06-12,Monitor Samsung,Electrónica,3,372.81,María López,Sur,54,107195.94
175,2025-06-12,Auriculares Logitech,Accesorios,1,60.82,Laura López,Sur,26,56180.22
232,2025-06-13,Mouse Inalámbrico,Accesorios,3,52.38,Valentina García,Este,24,59677.42
453,2025-06-15,Laptop HP,Electrónica,2,1043.73,Laura Martínez,Este,58,107233.7
350,2025-06-15,Auriculares Sony,Accesorios,1,174.1,Carlos Sánchez,Sur,59,116565.96
188,2025-06-15,Laptop HP,Electrónica,3,1139.97,Miguel García,Oeste,57,102749.4
451,2025-06-18,Mouse Inalámbrico,Accesorios,2,24.53,Pedro Martínez,Sur,39,55738.12
32,2025-06-18,Laptop HP,Electrónica,1,1245.95,Ana García,Oeste,52,86660.6
374,2025-06-18,Webcam Full HD,Accesorios,2,144.45,Sofía López,Oeste,49,102995.44
465,2025-06-23,Monitor Samsung,Electrónica,1,389.91,Carlos Martínez,Sur,20,49775.68
371,2025-06-24,Auriculares Sony,Accesorios,3,140.76,Ana Pérez,Norte,54,99226.62
58,2025-06-26,Monitor LG,Electrónica,3,340.1,Carlos Sánchez,Oeste,37,75546.0
474,2025-06-26,Teclado Mecánico,Accesorios,2,146.7,Valentina Martínez,Este,35,72694.14
200,2025-06-26,Webcam Full HD,Accesorios,2,178.76,Carlos Sánchez,Norte,55,110574.56
126,2025-06-26,Laptop Dell,Electrónica,1,1089.02,Ana Fernández,Sur,47,82048.9
445,2025-06-28,Laptop HP,Electrónica,3,1316.42,María González,Oeste,27,53297.47
211,2025-06-28,Monitor LG,Electrónica,1,234.17,Valentina González,Norte,43,65955.36
189,2025-06-28,Mouse Gaming,Accesorios,2,52.77,Sofía García,Norte,31,83820.26
55,2025-06-28,Auriculares Logitech,Accesorios,1,71.57,Pedro González,Este,20,42809.92
21,2025-06-29,Auriculares Sony,Accesorios,1,132.32,Juan Fernández,Norte,31,59614.49
422,2025-06-30,Laptop HP,Electrónica,1,1396.22,María González,Norte,20,50075.14
134,2025-07-01,Auriculares Sony,Accesorios,1,196.26,Pedro Fernández,Este,37,75042.63
272,2025-07-02,Auriculares Sony,Accesorios,1,104.37,Miguel García,Oeste,33,74125.07
289,2025-07-02,Laptop Lenovo,Electrónica,2,1048.09,Juan Pérez,Norte,37,64773.63
369,2025-07-02,Mouse Inalámbrico,Accesorios,2,59.24,Valentina González,Sur,30,64397.87
469,2025-07-05,Laptop HP,Electrónica,3,1150.04,Miguel Rodríguez,Oeste,41,70896.13
22,2025-07-06,Laptop Dell,Electrónica,1,1074.04,Juan Martínez,Sur,47,71864.95
380,2025-07-07,Laptop HP,Electrónica,2,1297.26,María Martínez,Sur,32,64961.6
428,2025-07-08,Teclado Inalámbrico,Accesorios,3,81.34,Ana Martínez,Norte,43,83389.48
373,2025-07-08,Laptop Lenovo,Electrónica,1,1051.74,Diego Sánchez,Sur,51,96590.0
441,2025-07-08,Mouse Inalámbrico,Accesorios,2,44.64,Diego González,Oeste,48,92332.07
4,2025-07-09,Mouse Inalámbrico,Accesorios,3,21.87,Carlos González,Este,22,30000.0
59,2025-07-09,Laptop Dell,Electrónica,3,1388.21,Pedro González,Norte,32,52973.85
8,2025-07-09,Teclado Inalámbrico,Accesorios,1,68.52,Sofía Rodríguez,Oeste,37,72313.68
70,2025-07-10,Laptop Dell,Electrónica,2,1340.52,Juan García,Oeste,52,89327.69
377,2025-07-10,Laptop Dell,Electrónica,2,1422.96,Sofía Pérez,Norte,53,97769.33
